,base_market,quote_market,hedge_ratio,half_life
0,XTZ-USD,ETC-USD,0.05657951798087474,12.0
1,XTZ-USD,LINK-USD,0.1612475726218282,8.0
2,XTZ-USD,UMA-USD,0.5434467160780538,10.0
3,XTZ-USD,SOL-USD,0.053702992881574436,19.0
4,XTZ-USD,AVAX-USD,0.06751045105379638,12.0
5,ICP-USD,ENJ-USD,12.888686969304574,22.0
6,ICP-USD,NEAR-USD,2.6484983312844217,6.0
7,ICP-USD,ALGO-USD,24.464430012972365,13.0
8,ICP-USD,SUSHI-USD,4.5134487641430265,10.0
9,ICP-USD,DOT-USD,0.9096828415010277,18.0
10,ICP-USD,DOGE-USD,73.03549832058927,11.0
11,ICP-USD,1INCH-USD,10.55269368438838,10.0
12,ETC-USD,ATOM-USD,1.6399113067627908,20.0
13,ETC-USD,BCH-USD,0.1571068064272777,11.0
14,ETC-USD,COMP-USD,0.4278533367262747,24.0
15,ETC-USD,UMA-USD,9.604442064172112,6.0
16,ETC-USD,SOL-USD,0.9491725080873037,10.0
17,ETC-USD,AAVE-USD,0.259253837934304,14.0
18,LINK-USD,ZRX-USD,28.526871067297456,24.0
19,LINK-USD,SUSHI-USD,5.659536589129317,9.0
20,LINK-USD,UMA-USD,3.3699017573766548,11.0
21,LINK-USD,DOGE-USD,91.5844867049313,13.0
22,ATOM-USD,BCH-USD,0.09576029443127716,15.0
23,ATOM-USD,SUSHI-USD,9.829295037720408,14.0
24,ATOM-USD,UMA-USD,5.852101683676776,17.0
25,ATOM-USD,DOT-USD,1.9815794292485658,14.0
26,ATOM-USD,MATIC-USD,10.357228213610883,13.0
27,ATOM-USD,AVAX-USD,0.7271051820197381,19.0
28,BCH-USD,SUSHI-USD,102.64739839121515,5.0
29,BCH-USD,MATIC-USD,108.14557394464576,6.0
30,BCH-USD,AVAX-USD,7.592760881629064,9.0
31,ENJ-USD,RUNE-USD,0.2890443215507212,11.0
32,ENJ-USD,COMP-USD,0.009290014843918924,8.0
33,ENJ-USD,ALGO-USD,1.8978560559180875,7.0
34,ENJ-USD,UMA-USD,0.2084213217683564,14.0
35,ENJ-USD,1INCH-USD,0.8185185776994266,10.0
36,ZRX-USD,COMP-USD,0.005251011159055596,11.0
37,ZRX-USD,ALGO-USD,1.0727777191639518,10.0
38,ZRX-USD,1INCH-USD,0.4626624961324143,11.0
39,TRX-USD,AAVE-USD,0.0008741267196424641,9.0
40,COMP-USD,UMA-USD,22.43442519965098,10.0
41,COMP-USD,1INCH-USD,88.09508856697114,10.0
42,XLM-USD,SUSHI-USD,0.06891703038012909,20.0
43,XLM-USD,MATIC-USD,0.072620684676985,23.0
44,NEAR-USD,SUSHI-USD,1.7038410206826464,11.0
45,ALGO-USD,UMA-USD,0.1098090672281712,10.0
46,XMR-USD,ETH-USD,0.09399155034143722,23.0
47,SUSHI-USD,ADA-USD,3.5913707479894725,11.0
48,SUSHI-USD,UMA-USD,0.5953588281611073,6.0
49,SUSHI-USD,DOT-USD,0.20152852120921735,7.0
50,SUSHI-USD,CRV-USD,1.28281898856467,13.0
51,SUSHI-USD,SOL-USD,0.05883623185278674,10.0
52,SUSHI-USD,DOGE-USD,16.17923954414673,6.0
53,SUSHI-USD,AAVE-USD,0.01607134296992832,9.0
54,SUSHI-USD,MATIC-USD,1.053371526131421,7.0
55,SUSHI-USD,1INCH-USD,2.3369072961967907,21.0
56,SUSHI-USD,AVAX-USD,0.07395718225777029,6.0
57,ADA-USD,DOT-USD,0.05610122627235525,8.0
58,ADA-USD,MATIC-USD,0.2932040657830404,11.0
59,UMA-USD,SOL-USD,0.09880381921774403,7.0
60,UMA-USD,DOGE-USD,27.167792541018787,5.0
61,UMA-USD,1INCH-USD,3.9245222084048206,10.0
62,DOGE-USD,1INCH-USD,0.1444341098495308,22.0
